Score,Text,BeginOffset,EndOffset,question
0.9997771978378296,the condition,1180,1193,As a national savings for the healthcare system will we save money is this is running correctly?
0.9998867511749268,the cost,1212,1220,As a national savings for the healthcare system will we save money is this is running correctly?
0.9995187520980835,rescue,1224,1230,As a national savings for the healthcare system will we save money is this is running correctly?
0.9997799396514893,a journey,1334,1343,As a national savings for the healthcare system will we save money is this is running correctly?
0.9991865754127502,the gun,1425,1432,As a national savings for the healthcare system will we save money is this is running correctly?
0.9870533347129822,extremely high cost,1436,1455,As a national savings for the healthcare system will we save money is this is running correctly?
0.7459807395935059,extremely high demand,1456,1477,As a national savings for the healthcare system will we save money is this is running correctly?
0.9995855093002319,a nation,1522,1530,As a national savings for the healthcare system will we save money is this is running correctly?
0.9999382495880127,the very long term,1534,1552,As a national savings for the healthcare system will we save money is this is running correctly?
0.999596357345581,the situation,1569,1582,As a national savings for the healthcare system will we save money is this is running correctly?
0.7641248106956482,the health care professionals,1598,1627,As a national savings for the healthcare system will we save money is this is running correctly?
0.9996444582939148,the  population,1641,1656,As a national savings for the healthcare system will we save money is this is running correctly?
0.9992015361785889,this grand challenge,1686,1706,As a national savings for the healthcare system will we save money is this is running correctly?
0.9861680269241333,that particular endpoint,1734,1758,As a national savings for the healthcare system will we save money is this is running correctly?
0.9995461702346802,the very start,1762,1776,As a national savings for the healthcare system will we save money is this is running correctly?
0.9994524717330933,the beginning,1812,1825,As a national savings for the healthcare system will we save money is this is running correctly?
0.9493667483329773,life and  didnt,1829,1844,As a national savings for the healthcare system will we save money is this is running correctly?
0.9998480081558228,the fact,1855,1863,As a national savings for the healthcare system will we save money is this is running correctly?
0.9999504089355469,the ones,1890,1898,As a national savings for the healthcare system will we save money is this is running correctly?
0.9884329438209534,greater risk,1908,1920,As a national savings for the healthcare system will we save money is this is running correctly?
0.9999150037765503,the minister,1929,1941,As a national savings for the healthcare system will we save money is this is running correctly?
0.9935606718063354,people,1967,1973,As a national savings for the healthcare system will we save money is this is running correctly?
0.9991003274917603,this family physician,1988,2009,As a national savings for the healthcare system will we save money is this is running correctly?
0.9968584775924683,the older age group,2028,2047,As a national savings for the healthcare system will we save money is this is running correctly?
0.9513457417488098,essence,2061,2068,As a national savings for the healthcare system will we save money is this is running correctly?
0.9361192584037781,mom and dad or grandpa and grandma,2096,2130,As a national savings for the healthcare system will we save money is this is running correctly?
0.9994701743125916,time,2141,2145,As a national savings for the healthcare system will we save money is this is running correctly?
0.9865298271179199,the kids,2151,2159,As a national savings for the healthcare system will we save money is this is running correctly?
0.984724760055542,this particular family doctor family doctor group,2179,2228,As a national savings for the healthcare system will we save money is this is running correctly?
0.7532009482383728,that practice,2250,2263,As a national savings for the healthcare system will we save money is this is running correctly?
0.9996834993362427,life,2278,2282,As a national savings for the healthcare system will we save money is this is running correctly?
0.9982118010520935,all the pickups,2287,2302,As a national savings for the healthcare system will we save money is this is running correctly?
0.9992311000823975,all the preventive measures,2311,2338,As a national savings for the healthcare system will we save money is this is running correctly?
0.9994213581085205,the necessary vaccinations,2349,2375,As a national savings for the healthcare system will we save money is this is running correctly?
0.959520697593689,a journey,2405,2414,As a national savings for the healthcare system will we save money is this is running correctly?
0.9877278804779053,that slope,2440,2450,As a national savings for the healthcare system will we save money is this is running correctly?
0.9262162446975708,weve,2459,2463,As a national savings for the healthcare system will we save money is this is running correctly?
0.9995442032814026,a lot,2470,2475,As a national savings for the healthcare system will we save money is this is running correctly?
0.9996918439865112,time,2479,2483,As a national savings for the healthcare system will we save money is this is running correctly?
0.9972313642501831,the rescue care,2495,2510,As a national savings for the healthcare system will we save money is this is running correctly?
0.997725784778595,prevention and promotion,2553,2577,As a national savings for the healthcare system will we save money is this is running correctly?
0.9988705515861511,health,2581,2587,As a national savings for the healthcare system will we save money is this is running correctly?
0.999859631061554,a lot,31,36,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.9996033310890198,the individual case,53,72,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.9398148655891418,one chronic condition lets,98,124,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.8805886507034302,attention right ts,134,152,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.9995039701461792,the person,176,186,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.7745078802108765,diabetes and,196,208,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.7018529176712036,high cholesterol,209,225,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.996418833732605,the medications,231,246,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.5548756718635559,complex t,259,268,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.9984560608863831,a lot,277,282,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.9653916954994202,the case thats,317,331,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.9998623728752136,the case,350,358,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.9994205236434937,the issue,384,393,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.9998328685760498,cases,446,451,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.9957695603370667,more than one chronic conditionart,461,495,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.9985433220863342,the healthy sd program,499,521,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.999383807182312,a stipulated set,550,566,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.9985089898109436,treatments and diagnostics,570,596,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.9938921332359314,a certain profile patient,600,625,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.9998316764831543,our due diligence,674,691,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.9986714720726013,that sense,730,740,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.9995724558830261,a bit,757,762,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.9998571872711182,the burden,766,776,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.9992607235908508,the risk,781,789,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.997937023639679,the patient,793,804,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.9992876052856445,our best efforts,848,864,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.8650349974632263,the other part,870,884,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.9955230355262756,very large scale kind,905,926,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.9942037463188171,concept,930,937,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.9911148548126221,the evidence,938,950,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.9998472332954407,other countries,956,971,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.9947530031204224,a white population basis,991,1015,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.9915971159934998,all these methodology,1028,1049,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.9974303841590881,care,1053,1057,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.9946342706680298,most patients,1058,1071,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.9992278218269348,biometric improvements,1082,1104,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.8317240476608276,one c,1114,1119,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.9897022843360901,their blood pressure readings,1129,1158,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.7866985201835632,that basis right,1179,1195,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.9988226294517517,a pool,1206,1212,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.9341643452644348,5000 patients,1220,1233,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.8352347612380981,100 200 ern people,1250,1268,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.9915880560874939,the same outcomes,1293,1310,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.9947317242622375,large scale studies,1330,1349,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.999585747718811,other countries,1355,1370,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.9839394688606262,little bit,1389,1399,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.9088534116744995,devils advocate,1403,1418,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.9996651411056519,paper,1452,1457,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.9998924732208252,the ground,1461,1471,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.9995260834693909,my feelings,1494,1505,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.9846709966659546,remuneration,1529,1541,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.8984871506690979,outcome or disease outcome or improvement,1551,1592,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.9938840270042419,health,1596,1602,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.9998434782028198,a period,1635,1643,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.9991700649261475,time,1647,1651,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.9997269511222839,a bias,1697,1703,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.9984520077705383,the healthier patients,1720,1742,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.9973535537719727,the more difficult cases,1761,1785,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.999775230884552,a negative cycle,1805,1821,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.9990176558494568,the whole purpose,1834,1851,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.9233000874519348,healthier s g,1855,1868,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.9551733136177063,a little,1879,1887,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.9874069094657898,remuneration or compensation,1912,1940,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.998407244682312,results or outcomes,1962,1981,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.9991052746772766,the appropriate laps,2009,2029,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.9984006881713867,the diagnostics,2030,2045,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.9994212985038757,different areas,2106,2121,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.9961668252944946,different socio economic levels,2131,2162,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.9992289543151855,information knowledge,2166,2187,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.9998716711997986,certain segments,2225,2241,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.9997788071632385,population,2245,2255,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.9997184872627258,their checks,2278,2290,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.9935439825057983,therapy,2337,2344,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.9995554685592651,their home,2357,2367,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.991836428642273,their community circumstances,2372,2401,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.7402164340019226,that very kind,2431,2445,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.9990279674530029,frequency,2449,2458,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.9586406946182251,a g  n one,2477,2487,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.9991685748100281,the older estates,2491,2508,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.9999606609344482,my outcomes,2527,2538,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.9998810887336731,this kind,2554,2563,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.9989747405052185,international yardsticks,2567,2591,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.8452214002609253,corporate clinic or,2623,2642,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.8117516040802002,young g  clinic,2643,2658,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.8967628479003906,perhaps a little bit more young estates,2666,2705,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.9805523753166199,ministry,2776,2784,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.9850208163261414,a bit,2806,2811,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.9993054270744324,some differences,2837,2853,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.9797713160514832,place,2887,2892,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.979619562625885,a fixed target,2893,2907,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.7948142290115356,enumerationts,2912,2925,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.6763883233070374,just the fact,2930,2943,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.8824234008789062,the g,2950,2955,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.9995740652084351,the one,2971,2978,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.9978381395339966,all the screenings,2985,3003,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.9978665709495544,the whole cm concept,3042,3062,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.9980484247207642,shared resources,3066,3082,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.9997236132621765,teams,3094,3099,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.9997549653053284,nurses,3103,3109,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.9981338381767273,healthcare phlebotomist,3113,3136,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.9997610449790955,trips,3159,3164,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.9886138439178467,patients houses,3170,3185,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.998694896697998,such checks,3197,3208,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.9994758367538452,our companys,3217,3229,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.9990134239196777,chronic disease management programs,3259,3294,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.9988705515861511,our staff nurses,3311,3327,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.9982184171676636,the botanists,3331,3344,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.9357600808143616,the digital  check,3361,3379,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.9934810400009155,blood,3391,3396,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.9999319314956665,patients,3409,3417,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.9999045133590698,the comfort,3421,3432,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.9999645352363586,their own homes,3436,3451,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.9991282820701599,patients,3474,3482,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.9997043609619141,the necessary checks,3504,3524,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.8290640711784363,views,3578,3583,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.9998742341995239,a national perspective,3633,3655,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.9863083958625793,cost savings,3667,3679,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.9999182224273682,a national perspective,3685,3707,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.9993873238563538,our care,3745,3753,Fees will be paid to GPS based on the health risk profiles of patients and depending on the outcomes.How are you going to measure this when outcome is going to be so different for everyone?
0.99831223487854,a whole rethinking,23,41,From your point of view What is Healthier SG
0.9992736577987671,health care,60,71,From your point of view What is Healthier SG
0.9998961091041565,a nation,75,83,From your point of view What is Healthier SG
0.9998959302902222,the fundamentals,100,116,From your point of view What is Healthier SG
0.9971300959587097,healthcare,120,130,From your point of view What is Healthier SG
0.9998965859413147,the fact,141,149,From your point of view What is Healthier SG
0.9996115565299988,preventive care,153,168,From your point of view What is Healthier SG
0.994465172290802,resources,191,200,From your point of view What is Healthier SG
0.9999364614486694,the biggest difference,221,243,From your point of view What is Healthier SG
0.993095338344574,healthcare burden,276,293,From your point of view What is Healthier SG
0.9794753193855286,the major chronic disease groups,311,343,From your point of view What is Healthier SG
0.9993534088134766,your cardiovascular diseases,365,393,From your point of view What is Healthier SG
0.9998325109481812,a very good state,417,434,From your point of view What is Healthier SG
0.998391330242157,health,438,444,From your point of view What is Healthier SG
0.9998975992202759,the main focus,459,473,From your point of view What is Healthier SG
0.990065336227417,healthcare msg prevention,477,502,From your point of view What is Healthier SG
0.9499064087867737,any already present chronic disease,516,551,From your point of view What is Healthier SG
0.9995654821395874,the summary,585,596,From your point of view What is Healthier SG
0.9953280091285706,one point,625,634,From your point of view What is Healthier SG
0.8561552166938782,its really a case,642,659,From your point of view What is Healthier SG
0.997734785079956,the health system,692,709,From your point of view What is Healthier SG
0.9898684024810791,the doctors,725,736,From your point of view What is Healthier SG
0.9989071488380432,the nation,762,772,From your point of view What is Healthier SG
0.9993740320205688,their illnesses,795,810,From your point of view What is Healthier SG
0.8255726099014282,a successful,834,846,From your point of view What is Healthier SG
0.9110412001609802,japan,860,865,From your point of view What is Healthier SG
0.9997135400772095,the physicians,901,915,From your point of view What is Healthier SG
0.9973672032356262,the allied health stuff,920,943,From your point of view What is Healthier SG
0.6827569007873535,the populist and thats,975,997,From your point of view What is Healthier SG
0.7314254641532898,the crux,1005,1013,From your point of view What is Healthier SG
0.9997057318687439,the issue,1017,1026,From your point of view What is Healthier SG
0.954006016254425,many many years and decades,1039,1066,From your point of view What is Healthier SG
0.8856659531593323,weve,1100,1104,From your point of view What is Healthier SG
0.8298091888427734,its normal,1138,1148,From your point of view What is Healthier SG
0.9996243715286255,the doctor,1157,1167,From your point of view What is Healthier SG
0.9203184247016907,youre unwell,1173,1185,From your point of view What is Healthier SG
